Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (gf/W),Overall Efficiency (gf/W),Vibration (g),App message,
0,,,,,0,0.00390625,-0.974609375,0.00003668720941548344,0.45046764457184013,11.756456321055927,0.0842005905475191,0,0,0.8574843322032911,0,0,0,0,0.0625,,
0.044790000000270086,,,,,0,0.005859375,-0.974609375,0.00003668720941548344,0.45046764457184013,11.756388507215652,0.08372177036844858,0,0,0.8557935917217878,0,0,0,0,0.0625,,
0.05264000000013039,,,,,0,0.00390625,-0.97265625,0.00003668720941548344,0.45046764457184013,11.75649909388423,0.0842924033165325,0,0,0.8605988943001696,0,0,0,0,0.0625,,
0.06107000000006519,,,,,0,0.0078125,-0.97265625,0.00003668720941548344,0.45046764457184013,11.756576351211422,0.08464506781218634,0,0,0.8632160255593799,0,0,0,0,0.0625,,
0.07485999999986961,,,,,0,0.005859375,-0.97265625,0.000023541796258895052,0.45046764457184013,11.756611422016828,0.08356871431439765,0,0,0.8456898490237561,0,0,0,0,0.0625,,
0.08273500000010245,,,,,0,0.005859375,-0.974609375,0.000023541796258895052,0.45046764457184013,11.756516609867788,0.08372649194974127,0,0,0.851011324075807,0,0,0,0,0.0625,,
0.09187000000011177,,,,,0,0.00390625,-0.97265625,0.000023541796258895052,0.45046764457184013,11.756561868094431,0.0848572665976653,0,0,0.8615586088685763,0,0,0,0,0.0625,,
0.09865500000002794,,,,,0,0.00390625,-0.970703125,0.000023541796258895052,0.45046764457184013,11.756580307917968,0.0849848506646357,0,0,0.8636574044528718,0,0,0,0,0.0625,,
0.1220250000001397,,,,,0,0.00390625,-0.97265625,0.000023541796258895052,0.45046764457184013,11.756462858210408,0.086756777982807,0,0,0.8866564542474075,0,0,0,0,0.0625,,
0.13001499999989755,,,,,0,0.0078125,-0.97265625,0.000023541796258895052,0.45046764457184013,11.756440570437052,0.08571362827628327,0,0,0.8753053305234139,0,0,0,0,0.0625,,
0.13987999999988823,,,,,0,0.00390625,-0.97265625,0.000023541796258895052,0.45046764457184013,11.756549561126066,0.08512966905594528,0,0,0.866451595162634,0,0,0,0,0.0625,,
0.14869999999995342,,,,,0,0.005859375,-0.974609375,0.000023541796258895052,0.4854514345090838,11.75677843225319,0.08495282246222635,0,0,0.8665580585924058,0,0,0,0,0.0625,,
0.15682499999995345,,,,,0,0.00390625,-0.9765625,0.000023541796258895052,0.4854514345090838,11.756740072142847,0.08461613202244359,0,0,0.8623513897964494,0,0,0,0,0.0625,,
0.1655800000000745,,,,,0,0.00390625,-0.9765625,0.000023541796258895052,0.4854514345090838,11.756808049642508,0.08479261678256522,0,0,0.8685036025886892,0,0,0,0,0.0625,,
0.17358499999996274,,,,,0,0.00390625,-0.97265625,0.000023541796258895052,0.4854514345090838,11.75676839779248,0.08425210081096214,0,0,0.8599568500085365,0,0,0,0,0.0625,,
0.18159000000008382,,,,,0,0.00390625,-0.9765625,0.000023541796258895052,0.4854514345090838,11.756796171328748,0.08395161019025443,0,0,0.8560944931056095,0,0,0,0,0.0625,,
0.18959500000020488,,,,,0,0.005859375,-0.970703125,0.000023541796258895052,0.4854514345090838,11.756691781306415,0.08345360399742933,0,0,0.8481763649452555,0,0,0,0,0.0625,,
0.19759500000020488,,,,,0,0.005859375,-0.97265625,0.000023541796258895052,0.4854514345090838,11.756788533371969,0.08297999172033574,0,0,0.8363940831311204,0,0,0,0,0.0625,,
0.22183500000019557,,,,,0,0.00390625,-0.97265625,-0.000052099998150975695,0.4854514345090838,11.756833214083217,0.08269955972638754,0,0,0.8366739896694163,0,0,0,0,0.0625,,
0.2307750000001397,,,,,0,0.005859375,-0.974609375,-0.000052099998150975695,0.4854514345090838,11.7569351502073,0.08365160689812672,0,0,0.8480691344861011,0,0,0,0,0.0625,,
0.23873999999999068,,,,,0,0.00390625,-0.97265625,-0.000052099998150975695,0.4854514345090838,11.757019619286654,0.08338188642639152,0,0,0.8448100924932873,0,0,0,0,0.0625,,
0.24692000000015832,,,,,0,0.00390625,-0.96875,-0.000052099998150975695,0.4854514345090838,11.757297289700261,0.08312344585373946,0,0,0.8459528969118839,0,0,0,0,0.0625,,
0.2547750000001397,,,,,0,0.005859375,-0.97265625,-0.000052099998150975695,0.4854514345090838,11.757168181253954,0.0833041372240555,0,0,0.8470381958363968,0,0,0,0,0.0625,,
0.26285499999998135,,,,,0,0.00390625,-0.974609375,-0.000052099998150975695,0.4854514345090838,11.757306603568122,0.0832631226672878,0,0,0.8480658139710513,0,0,0,0,0.0625,,
0.2707150000000838,,,,,0,0.00390625,-0.97265625,-0.000052099998150975695,0.4854514345090838,11.757307975233532,0.08322418493552312,0,0,0.8490413944265777,0,0,0,0,0.0625,,
0.2789000000001397,,,,,0,0.005859375,-0.974609375,-0.000052099998150975695,0.4854514345090838,11.75724326841885,0.08297182316966044,0,0,0.8456863600079062,0,0,0,0,0.0625,,
0.28693999999994413,,,,,0,0.00390625,-0.97265625,-0.000052099998150975695,0.4854514345090838,11.75728060245305,0.08305380811636912,0,0,0.8489277160816785,0,0,0,0,0.0625,,
0.2970649999999441,,,,,0,0.005859375,-0.974609375,-0.000052099998150975695,0.4999326463732722,11.757218358654955,0.08218047467979847,0,0,0.8329643978061819,0,0,0,0,0.0625,,
0.3139800000002142,,,,,0,0.005859375,-0.97265625,-0.000052099998150975695,0.4999326463732722,11.757532984571878,0.08356260552801999,0,0,0.8565625686878221,0,0,0,0,0.0625,,
0.32206000000005586,,,,,0,0.00390625,-0.974609375,-0.000052099998150975695,0.4999326463732722,11.757513766489094,0.08338640811125021,0,0,0.8546844359816013,0,0,0,0,0.0625,,
0.3298500000000931,,,,,0,0.00390625,-0.974609375,-0.000052099998150975695,0.4999326463732722,11.75750515081223,0.08334205895833974,0,0,0.8469694027576741,0,0,0,0,0.0625,,
0.33778000000002795,,,,,0,0.005859375,-0.97265625,-0.000052099998150975695,0.4999326463732722,11.757561957394596,0.08245034302034708,0,0,0.8395119133698905,0,0,0,0,0.0625,,
0.3457650000001304,,,,,0,0.0078125,-0.9765625,-0.000052099998150975695,0.4999326463732722,11.757485659701256,0.08372356557484932,0,0,0.8578732366227751,0,0,0,0,0.0625,,
0.3538450000002049,,,,,0,0.005859375,-0.974609375,-0.000052099998150975695,0.4999326463732722,11.757609656979735,0.0828054145876155,0,0,0.8476740573273226,0,0,0,0,0.0625,,
0.36182499999995343,,,,,0,0.0078125,-0.974609375,-0.000052099998150975695,0.4999326463732722,11.757334462294908,0.08321445279825757,0,0,0.8571880159306546,0,0,0,0,0.0625,,
0.3698550000002142,,,,,0,0,-0.9765625,-0.000056467275223778135,0.4999326463732722,11.757334474468575,0.08296333213767841,0,0,0.853443398367287,0,0,0,0,0.0625,,
0.37780500000016765,,,,,0,0.0078125,-0.97265625,-0.000056467275223778135,0.4999326463732722,11.757269969811542,0.08304418756782363,0,0,0.8562504993578965,0,0,0,0,0.0625,,
0.38585499999998135,,,,,0,0.0078125,-0.97265625,-0.000056467275223778135,0.4999326463732722,11.757157565552081,0.08151099225574071,0,0,0.8331925165591255,0,0,0,0,0.0625,,
0.39389000000013036,,,,,0,0.00390625,-0.97265625,-0.000056467275223778135,0.4999326463732722,11.75710106249959,0.08102771258624837,0,0,0.8243028320510496,0,0,0,0,0.0625,,
0.4136400000001304,,,,,0,0.00390625,-0.97265625,-0.000056467275223778135,0.4999326463732722,11.756972598566174,0.08220877869494388,0,0,0.8344787138490584,0,0,0,0,0.0625,,
0.42197500000009314,,,,,0,0.005859375,-0.97265625,-0.000056467275223778135,0.4999326463732722,11.756846782592156,0.08191811445518851,0,0,0.8284565050437771,0,0,0,0,0.0625,,
0.429875,,,,,0,0.005859375,-0.970703125,-0.000056467275223778135,0.4999326463732722,11.756805607916133,0.08194472043829011,0,0,0.8303820047215662,0,0,0,0,0.0625,,
0.4378349999999627,,,,,0,0.0078125,-0.97265625,-0.000056467275223778135,0.4999326463732722,11.756766244228261,0.08112082287551901,0,0,0.8216080625141493,0,0,0,0,0.0625,,
0.4474199999999255,,,,,0,0.00390625,-0.96875,-0.000056467275223778135,0.35837492026661133,11.756728713716159,0.08097398856341942,0,0,0.8196299951045718,0,0,0,0,0.0625,,
0.45713000000012105,,,,,0,0.00390625,-0.974609375,-0.000056467275223778135,0.35837492026661133,11.756814710077807,0.0807814693159282,0,0,0.8214350936484768,0,0,0,0,0.0625,,
0.46487000000011175,,,,,0,0.00390625,-0.974609375,-0.000056467275223778135,0.35837492026661133,11.756646087351522,0.08149384386645334,0,0,0.8321043379464347,0,0,0,0,0.0625,,
0.4730850000001956,,,,,0,0.005859375,-0.97265625,-0.000056467275223778135,0.35837492026661133,11.756614079978759,0.08197239088204562,0,0,0.8425007224224821,0,0,0,0,0.0625,,
0.48084499999997204,,,,,0,0.005859375,-0.974609375,-0.000056467275223778135,0.35837492026661133,11.756777571921926,0.0809487354638211,0,0,0.8311648150314658,0,0,0,0,0.0625,,
0.4890150000001304,,,,,0,0.0078125,-0.9765625,-0.000056467275223778135,0.35837492026661133,11.756739509406463,0.08123579607881644,0,0,0.8287198327081039,0,0,0,0,0.0625,,
0.496910000000149,,,,,0,0.005859375,-0.97265625,-0.000056467275223778135,0.35837492026661133,11.756834268873057,0.0806564584048763,0,0,0.8221185488183061,0,0,0,0,0.0625,,
0.5138300000000745,,,,,0,0.00390625,-0.97265625,-0.000056467275223778135,0.35837492026661133,11.756750748977863,0.08040280129047321,0,0,0.8180234457646743,0,0,0,0,0.0625,,
0.5212399999999907,,,,,0,0.00390625,-0.97265625,-0.00006162344070982462,0.35837492026661133,11.756656130365114,0.08029940483648144,0,0,0.8143863948223949,0,0,0,0,0.0625,,
0.5291350000000093,,,,,0,0.0078125,-0.97265625,-0.00006162344070982462,0.35837492026661133,11.756689085577177,0.0799830194053017,0,0,0.8085578270508774,0,0,0,0,0.0625,,
0.5370400000000373,,,,,0,0.005859375,-0.974609375,-0.00006162344070982462,0.35837492026661133,11.756655377961991,0.07967977747194084,0,0,0.7987281848686275,0,0,0,0,0.0625,,
